date,text
2023-10-07 06:35:13,ראשוני: הופעלה התרעה בגוש דן ובמרחב לכיש. הפרטים בבדיקה
2023-10-07 06:45:03,ראשוני: הופעלו התרעות במרכז ודרום הארץ. הפרטים בבדיקה.
2023-10-07 07:25:24,תושבי עוטף עזה מתבקשים להישאר בבתים בעקבות חשד לאירוע ביטחוני. פרטים נוספים בהמשך.
2023-10-07 07:39:22,"ראשוני: מספר מחבלים חדרו לשטח ישראל משטח רצועת עזה, תושבי עוטף עזה מתבקשים להישאר בבתים, פרטים נוספים בהמשך."
2023-10-07 08:17:43,ראשוני: הופעלה התרעה בירושלים ובמרחב השפלה. הפרטים בבדיקה.
2023-10-07 09:31:36,"לאור הערכת המצב, הוחלט על סגירת צירים ואתרים, ומעבר לנסיעה בצירים חלופיים באזורים הסמוכים לגדר המערכת בעוטף עזה.

לפירוט השינויים בהסדרי התנועה: 

למפת השינויים המלאה:"
2023-10-07 09:48:31,"דובר צה״ל מבקש מהציבור לגלות אחריות ולא להפיץ פרטים על אירועים שאינם מאומתים ולהיצמד רק למידע שהותר לפרסום וההודעות הרשמיות של דובר צה״ל בנושא.

מאחורי התמונות והסרטונים יש משפחות - אנא עזרו לנו לשמור על כבודן והימנעו מהפצת התיעודים.

פרטים נוספים ימסרו בהמשך."
2023-10-07 10:40:45,"דובר צה""ל מתיר כעת לפרסם את שם המבצע: ״״."
2023-10-07 10:48:47,"ראשוני: עשרות מטוסי קרב של חיל האוויר תוקפים כעת במספר מוקדים מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
2023-10-07 12:44:24,"הבוקר (ש') נורו כ-2,200 רקטות משטח רצועת עזה לשטח ישראל.
במקביל, בוצעו מספר חדירות לעבר שטח מדינת ישראל בדרום הארץ.
בתגובה פתח צה""ל במבצע ""חרבות ברזל"".

הרמטכ""ל הכריז על גיוס נרחב של כוחות מילואים.
כוחות צה""ל רבים, לרבות יחידות מיוחדות הוקפצו למרחב עוטף עזה ונלחמים במספר מוקדים שונים במרחב האוגדה על מנת להגן על תושבי הדרום.

עשרות מטוסי קרב של חיל האוויר תקפו לפני זמן קצר במספר מוקדים מטרות של ארגון הטרור חמאס ברצועת עזה.

דובר צה""ל שב ומבקש מהציבור להישמע להנחיות פיקוד העורף, המצילות חיים.

מצורפת ההצהרה המלאה של דובר צה״ל, תת-אלוף דניאל הגרי:


מצורף תיעוד מהתקיפות מוקדם יותר היום (ש'):"
2023-10-07 12:48:47,״חרבות ברזל״:
2023-10-07 13:53:10,"עשרות מטוסי קרב וכלי טיס נוספים של צה""ל תקפו בשעות האחרונות 17 מתחמים צבאיים ו-4 מפקדות מבצעיות של ארגון הטרור חמאס ברחבי רצועת עזה.

מצורף תיעוד בנושא: 

לכל העדכונים:"
2023-10-07 14:44:37,"כלי טיס של צה""ל תקפו לפני זמן קצר מספר מחבלים לאורך גדר רצועת עזה."
2023-10-07 15:43:45,"כלי טיס של צה""ל תקף לפני זמן קצר חוליית מחבלים נוספת סמוך למעבר ארז.

מצורף תיעוד של תקיפות נוספות בשעות האחרונות:"
2023-10-07 16:56:25,"בשעות הבוקר המוקדמות, לוחמי זרוע הים ניהלו מרדף ימי וחיסלו עשרות מחבלים אשר ניסו להגיע לשטח ישראל. 

הלוחמים פתחו באש לעברם וסיכלו שתי סירות גומי, שני כלי שיט נוספים וכלי חקלאי.

מצורף תיעוד בנושא:"
2023-10-07 17:11:15,"מצורפות תמונות מהיערכות כוחות צה״ל: 

מצורף תיעוד בנושא: 

בנוסף, מצורף תיעוד מהיערכות חיל האוויר:"
2023-10-07 18:33:59,"מטוסי קרב תקפו לפני זמן קצר שתי תשתיות צבאיות בתוך בניינים רבי קומות אשר שימשו את בכירי ארגון הטרור חמאס לביצוע פעולות טרור.

ארגון הטרור חמאס ממקם את נכסיו הצבאיים בלב האוכלוסייה האזרחית ברצועת עזה."
2023-10-07 18:35:58,"""חרבות ברזל""



ראשוני: צה""ל תקף כעת מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
