data,date,time,alertDate,category,category_desc,matrix_id,rid
נירים,13.06.2019,00:16:46,2019-06-13T00:17:00,1,ירי רקטות וטילים,1,5665
שדרות,13.06.2019,20:56:21,2019-06-13T20:56:00,1,ירי רקטות וטילים,1,5671
 איבים,13.06.2019,20:56:21,2019-06-13T20:56:00,1,ירי רקטות וטילים,1,5671
אשדוד - יא,18.06.2019,10:05:59,2019-06-18T10:06:00,1,ירי רקטות וטילים,1,5672
מרינה,18.06.2019,10:05:59,2019-06-18T10:06:00,1,ירי רקטות וטילים,1,5672
דישון,18.06.2019,11:54:54,2019-06-18T11:55:00,1,ירי רקטות וטילים,1,5673
נחל עוז,01.07.2019,09:18:57,2019-07-01T09:19:00,1,ירי רקטות וטילים,1,5674
 איבים,03.07.2019,07:20:20,2019-07-03T07:20:00,1,ירי רקטות וטילים,1,5675
שדרות,03.07.2019,07:20:20,2019-07-03T07:20:00,1,ירי רקטות וטילים,1,5675
ניר יצחק,12.07.2019,21:57:42,2019-07-12T21:58:00,1,ירי רקטות וטילים,1,5676
סופה,12.07.2019,21:57:42,2019-07-12T21:58:00,1,ירי רקטות וטילים,1,5677
כפר עזה,13.07.2019,10:31:03,2019-07-13T10:31:00,1,ירי רקטות וטילים,1,5678
נחל עוז,13.07.2019,10:31:03,2019-07-13T10:31:00,1,ירי רקטות וטילים,1,5679
אביאל,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5680
אור עקיבא,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5681
אזור תעשייה קיסריה,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5682
אלוני יצחק,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5683
באקה אל גרבייה,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5684
בית חנניה,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5685
בנימינה,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5686
ג'סר א-זרקא,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5687
ג'ת,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5688
גבעת ניל''י,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5689
גבעת עדה,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5690
גן השומרון,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5691
גן שמואל,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5692
זכרון יעקב,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5693
כפר גליקסון,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5694
כפר פינס,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5695
כרכור,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5696
להבות חביבה,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5697
מגל,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5698
מייסר,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5699
מעגן מיכאל,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5700
מעיין צבי,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5701
מצר,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5702
משמרות,31.07.2019,10:06:53,2019-07-31T10:07:00,1,ירי רקטות וטילים,1,5703
